abatyše	abbess
pouštění žilou	blood-letting
poutník	pilgrim
pouť1. pilgrimage	2. fair, wake
poválečný	post-war
pověra	superstition
pověst	1. legend, tale 2. reputation
povijan	binder
povinnost	duty, obligation
branná povinnost	conscription, see also
povít	to give birth to (hist.)
povolání	occupation, profession
povolat	to call up (for military service, etc.)
povolení	permission, dispensation (also warrant, grant, accordance, concession, license, appropriation, release)
povolit	to permit, to grant permission
Povýšení sv. Kříže	Exaltation of the Holy Cross (September 14)
později	later
pozemek	ground, land, piece of land, plot, demesne
pozůstalost	testator's estate, hereditaments, inheri tance, also see dědictví
pozůstalá vdova	remained widow
pozůstalý vdovec	remained widower
pra-	greatgrand- (e.g. pravnuk= greatgrandson)
pracovní	aqj. work(ing)
pracovní den working day
pracovní doba working hours
pracovní lístek job sheet
pracovní smlouva	contract of service
pradlena	laundress, washer (female)
ložní prádlo	bedclothes
Pragmatická sankce	the Pragmatic Sanction106
prachárna	powder-magazine
práchnivost	see svrab
prám	1. raft2. ferry
pranýř	pillory
praobyvatel	autochthon, aboriginal
praporec	pennon
prapra-	great greatgrand
prapředek	forefather
prarodiče	grandparents (= greatparents)
pravidlo	rule
právní	adj. legal, law
církevní právo	see kanonický
civilní právo	Civil Law
domovské právo	right of domicile (residence qualification)
stanné právo	martial law
vlastnické právo	proprietory right (ownership)
vším právem	by rights
vydržené právo	prescriptive right
pravoslavná církev	the Orthodox Church
pravost	see authenticity
privilegium	1. privilege 2. liberty (free of duty)
probant	see střen
proces	process, see also přelíčení
soudní proces	see soudní pře
procesionál	processional
proclít	to clear goods
prodavač	shop assistant, (store) salesman
prodavačka	shop assistant, (store) saleswoman, shopgirl
proděkan	sub-/assistent dean
věčná profese	see věčné sliby
profesor1. professor	2. master/mistress (school)
řádný profesor	ordinarius
prohlášení	declaration, avowal, vote, protestation, profession, confession, pronouncement, statement
prohlášky	see ohlášky
proletář	subst. proletarian
proletářský	acij. proletarian
proměňování	Consecration (transubstantiation)
prominent	prominent person (VIP)
promoce	graduation ceremony, degree ceremony, congregation, commencement
propadnout hrdlem	to forfeit one's life
propachtovat	to rent (hist.)
propouštěcí list	see list
prorektor	deputy vicechancellor
proroctví	prophecy
prosba	request, demand, petition
prosinec	December
prosit Boha o pomoc	to pray to God for help
proso	millet
prošacování	see šacunk
prošacovat	see šacovat
Protektorát Čechy a Morava	Protectorate ofBohemia and Moravia109
protestant	Protestant
protistátní	treasonous
protokol	1. record, process verbal, transcript 2. memorandum	3. protocol
podací protokol	1. incoming mail book
radní protokol	registry of town counsel
protonotář	protonotary
provazec	1. fathom (length measure)(metrol.)
český provazec	Bohemian fathom (= 52 Bohemian ells = 30,820 m)
čtvereční provazec	square fathom (square measure)
provázek	see šňůra
provazník	roper
provinilec	offender, transgressor, delinquent
prozatímní vláda	interim goverment
prsten	ring
prstolavosť	see malomocenství
prstýnkář	ring-vendor
průba	probe (of the noble lineage)(gen., hist.)
průkaz	certificate, card
řidičský průkaz	driving licence
průpis	(handwritten) carbon copy
Prusko	Prussia
prut	lenght measure (metro!.)
český prut	Bohemian prut(= 16 Bohemian feet)
čtvereční český prut	Bohemian square prut(= 5 jitros = 25 square fathoms)
prým prsní	see angina pectoris (hist.)
přadlena	spinner (female)
soudní pře	lawsuit, trial
přečin	misdeed
předák	foreman
přímý předek	direct/lineal ascendant (gen.)
předmanželské těhotenství	premarital pregnancy
předmanželský styk	premarital sexual intercourse
předmětové třídění	subject heading
předmluva	preface
přednášející	lecturer
přednášet	to give lectures, to lecture
přednáška	lecture
předseda	chairman
předsednictvo	presidium
předválečný	pre-war
předvečer	night before some feast, see also vigilie
Přemyslovci	the Přemyslids, the Przemyslids
přenešení	translation (of relics)
popřeslici	on the distaff-side (on the female line)
přesnice	see pascha
přespolní	non-resident person (esp. in countryside)
přestoupit k to convert to (e.g. Lutheranism, Ro- man Catholic Church, etc.)
převýchova	re-education
přezdívka	nickname
přezkoumat	1. to check up, to review, to revise
příbytek	1. abode, home, residence (hist.)
příbuzenský	of a relative, between relatives
příbuzenský poměr	family connection
příbuznost	affinity, relationship
duchovní příbuznost	spiritual relationship (reached only by baptism and confirmation)
přímý příbuzný	lineal relative112
přicestovat	to arrive in/at
přidavač	hod carrier, hodman
příděl	ration
přídělový systém	rationing scheme
přifařit	to incorporate in the same parish
přihláška	1. application (for membership)
přihlašovací lístek	police registration form
příhoda	incident
přijímající	partaker (ofthe Holy Communion)
přijímat pod jednou (způsobou)	to partake in one kind
přijímat pod obojí (způsobou)	to partake in both kinds
přijít na svět	to come into the world
přijít o život	to lose one's life
přijít pod čepec	to go up the aisle (i. e. to get married)
příjmení	sumame
složené příjmení	compound sumame
přilbice	see přilba
příloha	supplement, appendix
příměří	armistice, truce
přímluvce	intercessor
přímorky	see mor
přímá linie	descent
přímá ženská linie	direct female branch/line
přináležející	appurtenant (thing)
připovědět	see slíbit (hist.)
přípravka	sixth-fom college/prep school
přípřež	see potah
příručka	handbook, manual
statistická příručka	statistical yearbook/annual
přísahat	to swear
přísežný	swom
přísežná výpověď	affidavit
přísežné prohlášení	declaration under oath, statutory declaration
příslib	see slib
přístavba	extension (of a building)
přistěhovalec	immigrant
přistěhovalecký úřad	immigration office
přistěhovalecký úředník	immigration officer
příští	next, following
příštího roku	next year
příštipkář	cobbler
přítel1. friend	2. see příbuzný (hist.)
krevní přítel	(=,,blood ftiend") consanguineous relative (hist.)
při přítomnosti	in presence
u přítomnosti	see při přítomnosti
v přítomnosti	see při přítomnosti
přítomný	present
příušnice	mumps
přivést na žebrotu	to reduce a person to beggary
přivést ženu do jiného stavu	to get a woman with child
přívoz	ferry
přiznání (daňové)	(tax) retum, also see fasse
přízvisko	see přezdívka
psací	adj. writing
psací náčiní	writing materials
psací stroj	typewriter
psanec	outlaw
psaný vlastní rukou	in one's own hand, see also
psaný vlastnoručně	see psaný vlastní rukou
ručně psaný	hand-written
psotník srdeční	see vmetek
půlláník	peasant owning one half of lán (hide of land)
purkmistr	burgomaster (hist.)
purkrabí	see purkrabě
putna	1. tub 2. hod
putování	wanderings, travels
ptivod 1. provenance 2. origin 3. source	4. descent (gen.) 5. lineage (gen.) 6. parentage (gen.)
pátrat po původu to trace descent
pych	trespass (on forest, field or fisheries) involving damage or theft
pytláctví	poaching
pytlák	poacher
rabín	rabbi
rabínský	rabbinic, rabbinical
cilman	4. counsel
Československá národní rada	Czechoslovak National Council115
radnice	town hall, city hall
rafinérie	refinery
rak černětní	see nádor zhoubný kůže (hist.)
rakev	coffin, casket
Rakousko	Austria
Rakousko-Uhersko	Austria-Hungary
Rakousko-uherská monarchie	Austria-Hungari- an Monarchy
rakovina	see nádor zhoubný
rakovina pobřišnice	cancer of peritoneum
rakovina žaludku	cancer of stomach
rakušáctvi	Austrophile attitude (coll., hist.)
rána smrtelná	death-blow
rána střelná	gun-shot
raněný	wounded
ranhojič	(field) surgeon (hist.)
ráno	moming
razit mince	to mint
razítkovat	to rubber-stamp
ražebné	mintage (num.)
reálka	realschule (secondary technical school)
rebel	see buřič
rebelie	rebellion
selská rebelie	peasants' rebellion
recto	recto (the right-hand page of open book)
redaktor	editor
redemptorista redemptoristka reedice	reissue
reemigrant	re-émigré
reforma	subst. reform
regiment	see pluk
registratura	see spisovna
rehabilitovat	to rehabilitate
rejstřík	see registrum
berní rejstřík	tax register (dipi.)119
rejstřík zachovacích listů	register of letters of probity
urbární rejstřík	(exact) land and duties register
rejtar	ríder (hist.)
rekatolizace	recatholicisation
násilná rekatolizace	forced recatholicisation
rekrut	recruit
relace	subst. report
repertář	repertory (index, register)
represe	suppression, oppression, repression
reprodukce	reproduction
republika	republic
Československá lidová republika	the Czechoslovak People's Republic
Československá socialistická republika	the Czechoslovak Socialistic Republic
Druhá republika	the Second Republic
První republika	the First Republic
revertent	see navrátilec
revmatismus	rheumatism
revolta	revolt
robátko	see dítě (hist.)
robě	see dítě (hist.)
jízdní robota	(=,,ride manorial labour")
ruční robota	(=,,hand manorial labour") see pěší robota
robotníof robota
robotník	villein (doing compulsmy work-robota)
robotovat	to perform one's corvée (hist.)
ročenka	year-book
rodiče	parents
rodičovský	parental
rodičovství	parenthood
plánované rodičovství	planned parenthood
rodilý	native-bom
rodina	family
jaderná rodina	nuclear family (dem.)
rodinný	familial, family
rodinná hrobka	family vault
rodinná kronika	family history book, family records
rodinná vlastnost	family strain
rodinné jméno	family name
rodinný příslušník	dependent (member of a family)
rodná řeč	mother-tongue, native tongue/lan­ guage
rodná země	native country, country ofbirth
rodné jméno	maiden name
rodný list	birth certificate
rodová šlechta	hereditary peerage/nobility/gentry
rodový původ	descent, origin, parentage
rodokmen přímé mužské linie	pedigree in direct male line
rodokmen přímé linie	direct lineage pedigree
rodokmen rodové větve	pedigree of the
rohy	horns (heral.), see also zbroj
jubilejní rok	Jubilee year, see also milostivé léto (rel.)
kalendářní rok calendar year
křesťanský rok Christian year (ret.)
letošního roku	see letos
liturgický rok liturgical year (ret.)
lunární rok lunar year (chron.)
přestupný rok leap-year
přítomný rok	present year
roční období	season
rok narození	year of birth
rok od inkarnace	year of the Incarnation (rel.)
rok od narození Páně	see léta Páně
rok úmrtí	year of death
rok vydání	year of issue/publication
solární rok	solar year (chron.)
rolník	subst. peasant, farmer (male)
Rom	Romany
rota	company
rotmistr	regimental sergeant major/sergeant-major
rotný	company sergeant major/warrant officer/ sergeant 1st class
jarní rovnodennost	the spring/vemal equinox
podzimní rovnodennost	the autumnal equinox
Rozeslání apoštolů	Division of Apostles (July 15)
rozhodčí	arbitrator
rozhojnění erbu	see polepšení erbu
rozhřešení	absolution
rozchod	separation
rozkaz	1. order, command, mandate
rozkladatelné palandy	berths (used on ships by passangers - emmigrants)
rozluka	divorce (dissolution of connubial duties)
rozpad červených krvinek	disintegration of red blood cells
rozpálení plic	see zánět plic
rozplozovat (se)	to reproduce
rozptyl	see rozsev
rozrod	issue of a married couple
rozsev	dispersion
rozsudek	verdict, sentence
osvobozující rozsudek	verdict of non-guilty
rozšíření průdušek	bronchiectasis (med.)
rozvod	subst. divorce (legal separation when a marriage bond is dissoluted)
rozvod z viny manžela	divorce for wife
rozvod z viny manželky	divorce for husband
rozvodový	adj. divorce
rozvodová pře	divorce suit
ručit	to stand guarantee for
ručitel	guarantor
ruda	ore
ruina	see zřícenina
ruka Páně ho ranila	see krvácení mozkové
rukovat	see narukovat
rukověť	handbook
rustikál	rustical (hist.)130
rustikální	rustic
rybník	pond, pool
rygle	see spalničky
královský rychtář	bailiff (hist.)131
Řád bílého lvaOrder of the WhiteLion
Řád podvazkový	the Most Nohle Order of the Garter
Řád zlatého rouna	Order of the Golden Fleece
žebravé řády	see mendikantské řády
řádový	of the (holy) order
řádová škola	church school
řeholní	adj. regular
řemenář	strap-maker
řemeslník	handicraftsman, artisan, tradesman, craftsman
řemeslo	(handi)craft
řeřátek	see karbunkl
řetězokovář	chainmaker
řidičský průkaz	see průkaz
říjen	October
římský	Roman
svatá říše římská národa německého	the Holy Roman Empire of the German Nation
říšský	imperial
říšský protektor	Reichsprotector
sádky	fish-hatchery
sága	saga
sáh	length measure (metrol.)
český sáh	Bohemian sáh (= 3 Bohemian ells)
moravský starý sáh	Moravian old sáh
Salcbursko	(Region of) Salzburg (Austria)
salesián	Salesian
salutace	salutation (greeting)(dipl.)
salmonelóza	salmonellosis (med.)
samospráva	self-administration/government (e.g. municipal government), autonomy
samosprávný	self-administrative (municipal)
sanitář	hospital technician
sankce	sanction
sanytr	potassium nitrate
sapér	see ženista
sarkom	see nádor zhoubný
Sasko	Saxony
Dolní Sasko	Lower Saxony
Horní Sasko	Upper Saxony
saský	Saxon
sazeč	type-setter
sbírka	collection
sbor1. choir, chorus	2. congregation (rel.)
sborník	1. miscellany, memorial volume, procee- dings/report (of conferrence)
sčítání lidu	see soupis obyvatel
sčítání obyvatel	see soupis obyvatel
sebevrah	suicide (a person that killed himself)
sebevražda	suicide (self-destruction)
spáchat sebevraždu	to commit suicide
sedlák	1. peasant (farrner)(hist.) 2. countryman
sekera	axe
seminář1. seminary (school for priests)	2. semi
Semita	Semite
semitský	Semitic
seno	hay
senoseč	haymaking, hay harvest
separace	separation
septuagesima	Septuagesima
servita	Servite
milosrdná sestra	sister ofmercy (rel.)
nevlastní sestra	half-sister
řádová sestra	nun (rel.)
řeholní sestra	see řádová sestra
sestřenice	cousin (female)
sešlost věkem	marasmus
setník	captain (hist.)
sexagesima	Sexagesima Sunday
sezdávat	see oddávat
seznam	register, list, (to the book) index, roll
seznam mrtvých	death roll
seznam voličů	electoral roll
schematismus velkostatků	yearbook of estates135
schovanec	1. foster-child (male) 2. ward
schůzka	meeting, tryst, appointment, date
sibiřský	Siberian
Sibiřská magistrála	(Trans-)Siberian railroad
sídlo	1. seat 2. settlement, site
signet	signet (sigil.)
silikóza	see zaprášení plic silnice road, highway, route
símě see sémě
sirkař	match-maker (maker of safety matches)
siroba	orphanhood, orphanage
sirota see siroba sirotčinec	orphanage sirotčí orphan's, pupilary
sirotčí seznam	list of orphans
sirotek	orphan, fatherless/motherless child
sít to sow, to seed
sítař sieve-maker
síťnet, trawl
síťař	net-maker
sjezd congress/convention
skákající	rampant (heral.)
skica sketch
skladatel	composer (music)
skladník	stores manager
sklárna	glass works
sklářství	glass-industry/manufacture
sklenář	glazier
sklep	cellar
skleróza srdečnice	sclerosis of aorta
sklíčení střev	see neprůchodnost střev
sklonek	close
na sklonku	towards the close, in the later part (e.g.of the 17thcentury)
skon	demise, passing away (hist.)
skonání	see skon
skvrnivka	see skvrnivka epidemická
slabost (u kojence)	see nedonošenost
slad	malt
sládek	brewer
sladovna	malt(ing)-house
sladovník	maltster
sláma	straw
slavit mši svatou	see celebrovat mši svatou
slavnost	solemnity; feast
slavnostní zahájení	matriculation ceremony
slavobrána	triumphal arch
Slavonsko	Slavonia
Horní Slezsko	Upper Silesia
Dolní Slezsko	Lower Silesia
slezský	adj. Silesian
slezská knížectví	Silesian principalities
slavné sliby	solemn profession/vows
slib čistoty	vow of chastity
slib chudoby	vow of poverty
slíbit	to promise, to vow
slintavka (a kulhavka)	foot (and mouth) disease
Slovák	subst. Slovak (male)
Slovan	Slav
slovanský	Slavie
Slovenka	subst. Slovak (female)
Slovensko	Slovakia
Slovenská republika	the Slovak Republic
naučný slovník	see encyklopedie, lexikon
slovo	word
slovutný	renowned
složit	1. to fold 2. to compose
složit zbraně	to lay arms
sluha (velmože)	henchman
Slunce	Sun
sluneční	solar
sluneční cyklus	see solární cyklus
sluneční hodiny	sun dial
sluneční reguláry	see solární reguláry
slunovrat	solstice
letní slunovrat	summer solstice
zimní slunovrat	winter solstice
mít službu	to be in charge
služby boží	divine service
služebná	maid (servant), servant, domestic
služební	acij. service, duty
služební	offi.cial quarters
služební řád official regulations
služební slib see služební přísaha
služební stupeň official rank
služební tajemství	official secret
mírová smlouva	peace-treaty
Mnichovská smlouva	Munich Agreement138
nájemní smlouva	pledge
pachtovní smlouva	lease contract
trhovásmlouva	market contract (e.g. land transaction contract)
urbariální smlouvy	contracts regulating taxes frorn the land property of a peasantry139
smrtonosný	fatal
smrtedlný	see smrtelný
smuteční hostina	funeral wake
smuteční oznámení	announcement of death, rnouming-card
obléct smutek	to go into mouming
český zemský sněm	the Land Diet of Bohemia140
generální sněm	general assembly moravský zemský sněm the Land Diet of Moravia
sněmovna	parliament
dvojkomorová sněmovna	bicameral parliament
Poslanecká sněmovna	Chamber of Deputies141
sněť slezinná	see uhlák
snop	sheaf, stook
snoubenci	the betrothed, engaged (couple)
snoubenec	1. fiancé 2. betrothed (male)
snoubenka1. fiancée	2. betrothed (female)
snubní	nuptial
snubní prsten	see prsten snubní
sňatečnost	marriage rate
kanonickýsňatek	canon marriage, see also náboženský sňatek, církevní sňatek
legitimní sňatek legitimate marriage
morganatický sňatek see morganatický
náboženský sňatek	religious marriage, see also kanonický sňatek, církevní sňatek
pokoutnísňatek	hedge marriage (without consent)
příbuzenský sňatek	kin marriage
rodinný sňatek	inbreed (marriage offamily members)
sňatek in extremis	marriage in extremis142
sňatek z lásky	love match
tajný sňatek	clandestine marriage
úřední sňatek	see civilní sňatek
sokol	falcon
Sokol	(=,,Falcon") the Sokol143
soška	figure, statuette
současnice	contemporary (female)
současník	contemporary (male)
soud	1. court (oflaw) 2. judgment
smírčí soudce	justice ofthe peace
soudní	judicial
soudní dvůr	law court
soudní lékař	forensic surgeon, coroner
soudní pitva	see pitva
soudní líčení	session (of a court)
soudní řízení	trial
soukenice	draper (female)
soupis branců	conscription (milit.)
soupis lidu	(=,,register of people") census
sourozenec	sibling, brother or sister
spálenina	see popálenina
spalničky	measles
spása	salvation
Armáda spásy	Salvation Army
spasit	to save
spisovný	literary
spisový	documentary
Spojené státy americké	United States of America
spojenec	ally
spojenectví	alliance
společenské vědy	arts
spolubydlící	co-resident, roommate
spolubydlící příbuzný	coresident relative (dem.)
spolužák	schoolfellow, schoolmate, classmate
spontánní	see samovolný
spor1. contention, feud, dissension	2. dispute
správa	administration
duchovní správa	churc.h administration
zemská správa	land/provincial administration
správce	administrator, keeper, custodian, curator, steward
srdce	heart
srdeční	cordial
srdeční štítek see štítek srdnice	see škvrkavky (hist.) srp sickle
stárek	chiefmiller, head ofmill staff(hist.)
staroba	senility
starodávný	adj. time-honoured, ancient staromládenecký bachelor's staropanenství spinsterhood
starost	see stáří (hist.)
starosta	mayor, burgermeister, chairman of the town council
starožitnost	subst. antique, curiosity
stará panna	spinster
stát při knihách gruntovních	(=,,to stand at land registers") to stand trial at village court (e.g. for sale of farm)(hist.)
stát se1. to become	2. to take place/to occur/to happen (coronation took place in 1527)
deskovýstatek	(= ,,tabular estate") registered estate, see also zpupný statek
královské statkyRoyal demesne nezakoupený statek	landlord 's farm, leased by peasant (in Britain copyhold)
zakoupenýstatek	hereditary farm with holder's (peasanťs) right of succession and disposition (emphyteusis)
zpupnýstatek	allodial estate, see also deskový statek
statistika	statistics
statistický	statistical
statkář	I. landowner, landlord, landholder
panský stav Estate ofNobility prelátský stav Estate of Prelates rodinný stav	marital status
rytířský stav	Estate of Gentry
vladycký stav	Estate of Gentry (original term,
stavení	building
stavitel	master builder
stavovské povstání	Uprising ofthe Estates151
stěhovat (se)	to move (oneself)
stesk	languor
stesk po domově	home-sickness
Stolec sv. Petra	the See of St. Peter
století	century
Stolování sv. Petra	Chair of St. Peter (February 22)
stonat	see být nemocný
stopa	foot (length measure)(metrol.)
česká stopa	Bohemian foot (= 1/2 ofBohemian ell = 29,635 cm)
moravská stopa	Moravian foot (= 1/6 of Moravian sáh= 29,59 cm)
čtvereční stopa	square foot
čtvereční česká stopa	Bohemian square foot (= 878,233 cm2
čtvereční moravská stopa	Moravian square foot (= 875,568 cm2
stoupa	stamp-mill
stránka	see strana 1.
strava	1. fare, diet 2. food
strava a byt	board and lodging
stravování	board
stráž1. guard	2. sentinel, sentry, (hist.) watchman
strážce	guard, custodian, keeper
strážmistr	sergeant
strážník	policeman
strážný	watch
strom rodu duchovního	tree of a spiritual relationship
struma	see nemoci štítné žlázy
strunař	stringer, string maker
strych	1. square measure, see jitro (metro!.)
český strych	Bohemian strych (= 4 věrtels
středa	Wednesday
středohornoněmecký	adj. Middle High German
středopostí	Mid-Lent Sunday
středověk	the Middle Ages
středověký	medieval
stříbrňák	silver coin (hist.)
stříkavka	see úplavice střevní
studánka	fountain, well
student	student (male)
vysokoškolský student	undergraduate
studentka	student (female)
studium	study, studies
dálkové studium	external study
večerní studium	adult education
studna	well
studnař	well-sinker/digger
stůl	table
sudetský Němec	subst. Sudeten German
suchá nemoc	see tuberkulóza (plicní)
trhová suma market sum (hist.)
sušit	to dry, to dry-kiln
svat	matchmaker, marriage-broker (hist.)
Svatá Trojice	Trinity Sunday (the 1st after Whitsun)
svatba	wedding, nuptials, marriage
svatební	wedding, nuptial, bridal
svatební cesta	wedding trip, tour, usu. only honeymoon
svatební den	wedding-day
svatební komnata	bride-chamber (hist.)
svatební oznámení	wedding-card/announcement
sváteční den	feast day
svátek	feast
zasvěcený svátek	boly day of obligation (rel.)
svatodušní	Whitsun adj.
Nejsvětější Svátost	the Blessed Sacrament
svátost nemocných	see pomazání nemocných
udělit svátost	to celebrate
výstav Nejsvětější Svátosti	exposition ofthe Blessed Sacrament
svátostný	sacramental
svátostná zpověď	sacramental confession
svatý	Saint, haly
svatý Jan St. John, also Midsummer (June 24) svatý Jiří the feast of St. George, celebrated on April 23, later 24, was a half-yearly term on which rents and rates became due, see also sv. Havel svatý Martin	the feast of St. Martin, celebrated on November 11, was a term on which rents from vineyards became due
svědčit pod přísahou	to testify under oath
svědectví	testimony
písemné svědectví	testimonial letter
svědek	witness
přísežný svědek	swom witness
svedení	seducement
svedení pod slibem manželství	seduction
svéprávnost	capacity (law), capability, ability
svést	to seduce
Starý svět	Old World
světadíl	continent
svoboda tisku	freedom of the press
svobodné zednářství	see zednářství
svolení	subst. consent, agreement
otcovské (rodičovské) svolení k sňatku nezletilé nevěsty	patemal (parental) consent to the marriage ofunder age bride (hist.)
svolit	to consent, to agree
svrchupsaný	(= ,,written above") aforementioned, said
svršky	chattels (hist.), movable effects
Syn člověka	the Son ofMan
synovec	nephew
synovkyně	niece on one's brother side (hist.)
synovský	filial
šábes	Sabbath
šacéř	see biřic
šacovat	to estimate, to size up (e. g. a value of a farmstead)(hist.)
šacunk	survey, estimation (hist.)
šafář	steward (hist.)
šarže	see hodnost
šatlava	local magistrate's or manor jail (hist.)
šavle	sabre
šek	checque/check
šelak	shellac
šenkovna	see šenk
šenkýř	tapster, tavemer (hist.), innkeeper (male)
šenkýřka	tapster, tavemer (hist.), innkeeper (fema- le)
šerm	fencing, swordmanship
šermíř	fencer, swordsman
šerpa	sash
šibenice	gallows
šibřinky	village or Sokol masked ball
šílenství	madness, mania
širočina	broad axe
škamna	school bench (hist.)
škola	subst. school
normální škola	normal school
obecná škola	(=,,common, general school") see národní škola
průmyslová škola	technical college
školou povinný	of school-age
vojenská škola	see kadetní škola
vysoká škola	college, university
školák	see žák
školka	see mateřská škola
školné	school-fees
školní	adj. school
školní budova	school (building), schoolhouse (in countryside)
školní katalogy	school catalogues
školník	school servant, caretaker, janitor
školský	educational
šlak	see krvácení mozkové
šlechta	nobility, aristocracy, peerage
nižší šlechta	gentry, knightage and baronetcy
šlechtická hrdost	nobiliary pride
šlechtictví	nobility
šlechtična	noblewoman
šlechtitel	breeder, cultivator, improver
šmukýř	hat decorator
špendlíkář	pinmaker
šperk	see klenot
šperkař	jewel-maker
špice	per pile transposed (heral.)
špitál	infirmary (hist., co!!.)
špión	see špeh, see also vyzvědač
štěpnice	(apple) orchard, garden nursery
štěrkař	gravel-chipper
štít	1. shield (heral.) 2. coat-of-arms, escutcheon
srdeční štítek	heart shield (heral.)
štoček	process-block (lib.)
štok	butt
štola	gallery (in mine)
štolba	equerry, groom
štoudev	vat
štuk	stucco
štukatér	stuccoer, modeller in stucco
štvanice	hunt, chase
Štýrsko	Styria
švadlena	seamstress, see also krejčová
švagr	brother-in-law
švagrová	sister-in-law
švagrovství	affinity (impediment to marriage)
švec	shoemaker, see also příštipkář
tabáčník	tobacconist, see also trafikant
tabák	tobacco
tabela	schedule
internační tábor detention camp
koncentrační tábor concentration camp
tábor lidu	rally, festival
Táborita	Taborite
tahoun	workhorse, draught-horse
tajemství	subst. secret
talent	see nadání
talentovaný	see nadaný
talmud	Talmud
tanec	dance
táta	daddy (co!!.)
tavírna	foundry
taxa	see poplatek
být těhotný s	to be pregnant by
technik	technologist, engineer, operator
zubní technik	dental technician
testátor	see pořizovatel závěti
testátorka	see pořizovatelka závěti
teta	1. aunt 2. gammer
tetanus	tetanus
těžařstvo	mining company (hist.)
tchán a tchyně	parents-in-law
tchyně	mother-in-law
tichý	silent, quiet, low
tichá mše	low mass
titul na hřbetě/vazbě knihy	titling/labeling on the back/cover of a book (lib.)
titulární	adj. titular
titulář	1. formulary of titles (= titling register),(dipl.)	2. titular head (e.g. bishop)
titulatura	titling
tkaničář	maker of tapes, laces and strings
tlumočit	to interpret
tlumočník	interpreter
tlustý krk	see nemoci štítné žlázy
tolerance	see snášenlivost
torzo	torso, fragment
totalitní	totalitarian
totalitní režim	totalitarian regime
Tovaryšstvo Ježíšovo	Society of Jesus
tráva	grass
trávení	see otrava (hist.)
trávník	1. grass 2. see půda 4.
trest	penalty, punishment
trestní orgány	the courts
trestní oznámení	complaint (legal)
trestní zákonník	penal/criminal code/law
Trojice	Trinity
trombóza	thrombosis (med.)
trubač	trumpeter
truhla	chest
moučná truhla	see moučníce (hist.)
truhlář	cabinet-maker, joiner
uprázdněný trůn	vacant throne
trůnní	adj. throne
trůnní právo	law of succession
tryzna	commemoration/funeral ceremony
smuteční tryzna	see tryzna
tržiště	market-place
tržní	see trhový
třesavka	see zimnice and tyfus břišní
třetina	third (part)
třetinnice	see malárie třídenní
třetnice	see malárie třídenní
Tři Králové	Epiphany (January 6), also the Magi
třída	class
tuberkulóza	tuberculosis
tur	ox (hist.)
tvrdý vřed	see příjice
týden	week
Pašijový týden	Passion Week, see also Svatý týden
Svatý týden Holy Week, see also Pašijový týden velikonoční týden	Baster Week, see also Pašijový týden and Svatý týden
týdenní	weekly
učedník	see učeň
učeň	apprentice, trainee
učenec	scholar
učení	university
vysoké učení technické	polytechnic
České vysoké učení technické	formerly Bohemian Polytechnic Institute, presently Czech Technical University (in Prague)
učený	leamed, scholarly, scholastic
účet1. account	2. bill, invoice
účetní1. adj. book-keeping, accounting	2. subst.
účetnictví	book-keeping
jednoduché účetnictví	book-keeping by single entry
podvojné účetnictví	book-keeping by double entry
učit	see vyučovat
hlavní učitel	head teacher
učitelka	teacher (female), mistress, schoolmistress
industriální učitelka	teacher/schoomistress of needlework
učitelský ústav	(= ,,Institute for teachers") teachers training college
účtárna	book-keeping department
uhlák	1. anthrax (med.) 2. see uhlíř (hist.)
uhlí	coal
ležet úhorem	to lie fallow
úhrn	sum
ucházet se1. to sue for, to woo	2. to pretend
ujec	uncle (on one's mother side) (hist.)
ujímání	see kolika střevní
ujmout se 1. to take hold of(a farm)2. to take up (a command)	3. to take charge of(a person)
ujmout se gruntu	to take a hold of a farm (hist.)
úkladný	devious
úkladná vražda	assassination, premeditated/ wilful murder (law term)
Ukřižování Páně	Crucifixion of Our Lord
umělec	artist, craftsman (male) uměleckohistorický art-historical uměleckoprůmyslový adj. applied-arts
uměleckoprůmyslová škola	see škola
umělecký	artistic
umělecká řemesla	arts and crafts
jméno umrlého	name of deceased (hist.)
úmrtí	see smrt
umrznout	see zmrznout
umřít	see zemřít
umučení	martyrdom, torture
únos	kidnapping
Umučení (Ježíše Krista)	see pašije
upálení	buming
úpis	credít paper
dlužní úpis	bíll (acknowledging an obligation to pay money), promissory note
uplynulý	elapsed
upomínka	reminder
urbář	land and duties regíster (dipl.)159
úroda	crop, harvest, yíeld
úrodný	1. fertile 2. productive, fecund
úrok	interest (economics)
nést úroky	to yield interest
urozenost	noble/gentle birth
uršulinka	Ursuline
úřad	1. office 2. lignity, office, rank
báňský úřad	mining office
farní úřad	1. parish office 2. curacy
krajský úřad	see krajský
městský úřad	see městský
nejvyšší dvorské úřady	Supreme Court Offices, see Supplement III.
nejvyšší zemské úřady	Supreme Land Offices, see Supplement III.
obecní úřad	see obecní
okresní úřad	see okresní
úředně kontrolovat	to attest
úřední cena	assize
úřední cestou	through official channels
úřední listina	instrument (document)
úřednický	clerical
úřednictvo	officials, clerical workers
úředníci zemského soudu	Land Court Officers, see Supplement III.
státní úředník	state servant
usadit	to settle
usedlík	resident, habitant
usedlost	messuage
hospodářská usedlost	see grunt
usedlý	settled
uskřinutí střev	see neprůchodnost střev
usmrtit	see zabít
usnout v Pánu	(=,,to get sleep in God") to pass away with the Lord (hist.)
úspory	savings
