id,latin_word,czech_translation
2627,iterum,"pak [Pražák neuvádí, ale v Int. Ioh. cca toto: nejdříve svedl ďábel Evu, pak Adama]"
2628,iterum,"znovu (opakovaně to stejné) ; opět (i ve významu opakování činnosti, ale s jiným obsahem: např. a opět jsem se zeptal"
2629,iterum,"znovu (opakovaně to stejné) ; opět (i ve významu opakování činnosti, ale s jiným obsahem: např. a opět jsem se zeptal [ale na něco jiného])"
2630,iterum,"znovu, opět"
2631,iuba,hříva
2632,iudaismus,"židovství, judaismus	Fournier I, 178"
2633,Iudas,Jidáš
2634,iudex,"soudce ; posuzovatel, kritik ; rychtář"
2635,iudicatio,"rozsudek ; soudní obvod, soudní okrsek	MLLM"
2636,iudicium,"rozhodnutí, usnesení"
2637,iudicium,"rozsudek, soudní nález, výrok, rozhodnutí ; úsudek, mínění ; schopnost soudit n. posuzovat, soudnost, vkus ; rozvaha ; soud, soudní vyšetřování, jednání, řízení, přelíčení ; pře, proces ; soud, soudní úřad, soudce"
2638,iudicium,vyšetřování
2639,iudico,"soudit, rozpoznat"
2640,iudico,"disponovat čím, vládnout nad čím (alqd) ; odkázat, zůstavit ; stanovit (v závěti)	MLLM"
2641,iudico,"soudit ; posuzovat, oceňovat ; prohlásit za"
2642,iudico,"soudit, rozsuzovat, vynášet rozsudek, prohlásit za ; pokládat za, soudit, prohlašovat, posuzovat, pronášet soud, pronášet úsudek ; rozhodovat ; odsuzovat (DZ ; spíš asi zřídkavě ; Pražák ne, ale jasně Durand 138:30)"
2643,iudico,"uložit (trest) ; přisoudit, přiřknout, přiznat ; nařídit (prozatímním soudním rozhodnutím) ; uznat právo koho, učinit po právu komu (pečlivě dohledáno podle fr.) ; mít v rukou jurisdikci (nad oblastí)	MLLM"
2644,iugum,"horský hřbet, pohoří"
2645,iugum,jho
2646,iumentum,dobytek
2647,iumentum,"dobytek, tažné zvíře, kůň"
2648,iumentum,"dobytek, tažné zvíře, tahoun"
2649,iunctis manibus,se sepjatýma rukama
2650,iunctura,"spojení, svaz, kloub"
2651,iunctus,"sousedící, spojený"
2652,iunctus,"sousedící, vedle sebe postavený"
2653,iungo,spojit ; sepnout (ruce)
2654,iupan,župan
2655,iuramentum,přísaha (DZ ; Pražák nic)
2656,iuramentum,"přísaha (MLLM nic víc, význam ""přísahání"" neuvádí, ale vzhledem k významu fr. ""jurement"" i k RS 60:3 to nepochybně bude i přísahání obecně)"
2657,iurare super librum Evangeliorum,přísahat na evangeliář
2658,iuratus ad sancta Evangelia,pod přísahou na svatá evangelia
2659,iuratus,pod přísahou
2660,iuratus,"přísahavší, přísahu složivší, přísahou vázaný, (doplňkově) pod přísahou"
2661,iure iurando inter se sanxerunt,přísahou se ve spolek zavázat
2662,iuro,přísahat
2663,ius dicere,konat soudy
2664,ius iurandum,přísaha
2665,ius,"polévka, šťáva, omáčka"
2666,ius,"poplatek, dávka	MLLM nic víc"
2667,ius,"právo ; právní ustanovení ; soud ; pravomoc, moc, nárok ; oprávněnost ; právní postavení ; spravedlivá věc ; vrchní moc, svrchovaná moc"
2668,iusta altitudo,náležitá výška
2669,iustitia,"justice, soudnictví, soudy"
2670,iustitia,"spravedlnost, spravedlivost ; spravedlivé jednání, dobrota, přímost"
2671,iustum funus,řádný pohřeb
2672,iustum,"právo, spravedlnost	Pražák"
2673,iustus,"oprávněný, správný"
2674,iustus,"řádný, odůvodněný, náležitý"
2675,iustus,"spravedlivý (o člověku i jevu či ději) ; zákonný ; řádný ; zasloužený, náležitý, patřičný ; správný ; oprávněný, odůvodněný ; slušný	Pražák, DZ"
2676,iuvenio,"dosáhnout, nalézt, přicházet"
2677,iuventus,mládež
2678,iuxta,"podle, ve shodě s	DZ"
2679,iuxta,"vedle, blízko, nablízku ; stejně, rovněž tak"
2680,iuxta,"vedle, blízko, nablízku ; stejně, rovněž tak, stejně tak ; vedle, blízko (předl. s ak., často až za substantivem)"
2681,iuxta illud + gen.,"k čemuž, o čemž (praví Izajáš apod.), podle slov (Izajášových apod.) (takto RS 53:18.20 či Fournier I, 69 ; následuje genitiv: Ysaie, Apostoli, je to vlastně asi výpustka, snad z iuxta illud (verbum) apostoli)"
2682,iuxta illud + gen.,"k čemuž, o čemž (praví Izajáš atd. ; takto RS 53:18.20 ; následuje genitiv: Ysaie, Apostoli, je to vlastně asi výpustka, snad z iuxta illud [verbum] apostoli)	DZ"
2683,iuxta quod,jak o tom (píše Apoštol Římanům)
2684,iuxta quod,"k čemuž, o čemž (praví Apoštol atd. ; takto Tractatus manicheorum)"
2685,Jadra,"Záhřeb (rejstřík Iz dubrovačkog: Zara, viz Jadra)"
2686,jampridem,již dříve
2687,Jesu,Ježíši (vok.)
2688,judico,(form. iudico)
2689,jupan maior m.,velký župan
2690,Karliun,Caerleon	geogr.
2691,Katerina,(antroponym.) Kateřina (Castanet 159)
2692,labo,"viklat se, hýbat se, kolísat, klátit se ; potácet se, vrávorat ; kácet se, klesat ; být vrtkavý, nestálý, váhat, rozpakovat se ; otřásat se, být v nejistotě ; upadat, rozpadat se"
2693,labor,"sunout se, šinout se, smekat se, klouzat ; jet, sjet ; letět ; plazit se, plížit se ; plynout ; plout ; klopýtnout ; přen. klopýtnout, pochybit, zbloudit ; vklouznout kam, vkrádat se, plížit se ; spadnout kam"
2694,labor,"uplývat, míjet, ubíhat, mizet, sklánět se, naklánět se ; zhroutit se, sesout se ; ochrnout ; hasnout, vyhasnout (zejm. o zraku)"
2695,laboro,"být v nouzi, v tísni, v nesnázi"
2696,laboro,"být v nouzi, v tísni, v nesnázi ; být tísněn, být svírán, být v nouzi, v úzkých, v nebezpečí ; váznout ; stonat, mít bolesti ; trápit se pro někoho (o lásce)"
2697,laboro,"být v tísni, nouzi"
2698,laboro,"pracovat, namáhat se (i duševně), lopotit se ; usilovat, přičiňovat se, snažit se (ut aby, ne aby ne) ; dbát, pečovat, starat se, mít starost, mít péči o koho, co ; dělat, zhotovovat, vyrábět co"
2699,labrum,okraj
2700,lacesso,"pokoušet, napadat, vyzývat, podněcovat, dorážet"
2701,lacesso,"napadat, vyzývat"
2702,lacesso,"pokoušet, napadat, vyzývat, podněcovat, dorážet"
2703,lacrima,slzy
2704,lacrimo,"slzet, ronit slzy, plakat"
2705,lacrimor,"slzet, ronit slzy, plakat (Pražák uvádí jen nedep., ale lat-fr uvádí i dep. a tak užito i v RS)"
2706,lactineus,mléčně bílý	MLLM
2707,lacto,kojit
2708,lacus,"jezero, rybník"
2709,laedo,porušit
2710,laesio,"poškození ; urážka, uražení ; úmyslné dráždění odpůrce"
2711,laetenter,"radostně, vesele"
2712,lagena,"láhev, lahvice (hliněná či skleněná), džbán ; (dutá míra)	Pražák, MLLM"
2713,lagoena,(viz lagena)
2714,laguena,(form. lagena)
2715,laicalis,laický	MLLM
2716,laicus,laik
2717,lamina,"plíšek, plát, plátek, plech, deska, destička, kousek kovu / dřeva / kamene ; kusy železa, rozžhavené železo (k mučení či vypalování cejchu) ; čepel"
2718,Lamparticus,lombardský
2719,Lamperticus,lombardský
2720,lanterna,"svítilna, lampa"
2721,lanternarius,"nosič svítilny (jeden z otroků) ; sluha, pochop"
2722,lapis,kámen
2723,lapsus a fide,odpadnutí od víry	Duv. Rel. 207
2724,lapsus sum,"(viz labor, labi, lapsus sum)"
2725,largior,štědře rozdávat
2726,largiter,hojně
2727,largitio,štědrost
2728,lassitudo,"únava, ochablost"
2729,late,do šířky
2730,latebra,"skrýš, úkryt"
2731,later,cihla
2732,laterna,"svítilna, lampa	pozd."
2733,Latini,Latinové
2734,latior,"širší, rozsáhlejší ; více lidí zasahující, rozšířenější ; obšírnější"
2735,latitudo,"širokost, rozlehlost"
2736,latrocinium,"loupež, zákeřnictví"
2737,latus,(part. perf. pas. od fero)
2738,latus,"široký, širý, rozsáhlý"
2739,latus,"široký, širý, široširý, rozsáhlý, prostranný ; obšírný"
2740,latus,"bok, strana"
2741,latus,"bok, strana, stěna ; břeh ; křídlo ; kraj, končina ; bok (těla) ; prsa ; hřbet, záda ; tělo ; nejbližší okolí, blízkost ; síla, zdraví"
2742,latus,křídlo
2743,lauter,(nenal. nic)
2744,lauterius,(nenal. nic)
2745,lauterius,"(Pražák ani MLLM nic ; snad hráč na loutnu, viz ""lautum"")"
2746,lauterius,(Pražák nic)
2747,lautum,loutna	MLLM
2748,lautus,"umytý, čistý ; hezký, švarný, lepý ; nádherný, skvělý, skvostný ; slušný, řádný, způsobný, uhlazený, vznešený ; znamenitý, vzácný, jemný"
2749,lautus,loutna	MLLM
2750,lavo,"umývat, koupat"
2751,laycus,laik
2752,lectio divina,"duchovní četba (mnišská četba Písma, popřípadě spisů církevních Otců či dalších textů a zbožné rozjímání nad nimi) (ekvivalent ""duchovní četba"" užívá Regula Benedicti / Řehole Benediktova 1998, ale s. 115 ""svaté čtení"")"
2753,lectum,lůžko
2754,legatio,vyslanectví
2755,legatum,odkaz (v závěti)
2756,legatus pro praetore,velitelův zástupce
2757,legio veterana,legie ze starých vojáků
2758,legumen,(MLLM nic)
2759,legumen,"luštěnina, bob ; obilnina	Pražák nic víc"
2760,legumen,zelenina
2761,leguminae,"zelenina (viz legumen, ale leguminosus je zeleninový, ne jen luštěninový)	takto TDH"
2762,lemovicensis,"limousinský	Sigal, M., 119"
2763,lenis,"pomalý, klidný, tichý, mírný"
2764,lenitas,"povlovnost, mírnost"
2765,Leodiensis,ličgeský	WEH 140
2766,levo,"ulehčovat, činit lehkým ; zmenšovat, snížit ; zbavovat, zprošťovat, osvobozovat ; polehčit, prospět komu, zotavit, posílit ; obveselit ; slehnout, porodit ; nadlehčovat, opírat se ; zdvíhat, vznášet ; činit hladkým, hladit, leštit"
2767,libenter,rád
2768,liber evangeliorum,evangeliář
2769,liber,"svobodný, volný"
2770,liberalis,"laskavý, štědrý, vlídný"
2771,liberalitas,"blahovůle, ochotnost, velkorysost"
2772,liberalitas,"štědrost, šlechetnost, čestnost"
2773,libero,"osvobodit ; osvobozovat, na svobodu pouštět ; osvobodit (na sobě), propustit, zprostit, prohlásit nevinným ; zprošťovat ; vyklízet, uvolňovat"
2774,libido,"touha, chtivost, žádost, žádostivost, žíznění po čem ; chtíč, smyslná žádost, chlípnost, vilnost, smyslnost ; rozkošnictví, požitkářství, bujnost, zhýralost, prostopášnost ; chuť, záliba ; choutka, libovůle, rozmar, vrtoch"
2775,licentia specialis,zvláštní povolení
2776,licentia,"dovolení, možnost ; volnost, svoboda, dovolení ; vůle ; přemíra svobodomyslnosti, zpupnost, drzost"
2777,liceor,podávati
2778,licet,"ač, ačkoli, byť (s adj. i celou větou)"
2779,licet,"ať, třeba i, kdybych, bych i, dejme tomu, že"
2780,licet,byť (např. + adj.)
2781,licet,jest dovoleno
2782,licet,je dovoleno
2783,lignator,dřevorubec
2784,lignum prohibitum n.,zakázaný strom	DHC 310:29
2785,lignum vetitum,"zakázaný strom, zapovězený strom [strom v ráji, na kt. roste zakázané ovoce]"
2786,lignum,dřevo ; strom
2787,ligo,motyka
2788,ligonizator,"(Pražák nic, MLLM přímo nic, viz ""ligonizo"" ; několik překladů udává ""hrobník"", ale dle ligonizo se zdá, že by mohlo jít i o ""kopáče"")"
2789,ligonizator,hrobník
2790,ligonizo,"kopat, pracovat s motykou, rýt (MLLM bęcher, tj. očividně i rýt rýčem)	MLLM nic víc"
2791,lingua laicalis,lidový jazyk
2792,lingua,"jazyk (řeč), jazyk (v ústech) ; národ (přen.)"
2793,lingua,"jazyk ; řeč, mluva"
2794,linter,"člun, loďka"
2795,linter,"člun, loďka"
2796,liquamen,"ovocná šťáva, džus ; omáčka	MLLM"
2797,littera absolutoria,absoluční dopis
2798,littera,dopis
2799,litteris mandare,"sepisovat, zaznačovat písemně"
2800,litus,"břeh, pobřeží"
2801,loci communes,"obecné věty (zásady, principy, kategorie, poučky, myšlenky), schémata"
2802,locus medius utriusque,"místo uprostřed, mezi oběma ležící, patřící jim oboum"
2803,locus requiesque,místo k odpočinku	hendiadys
2804,locus,"místo, kout ; místo v přírodě ; poloha místa ; kraj, krajina, země, oblast ; dědina, osada, město ; místnost ; bydliště, byt ; rodidla, intimní (ženské) partie"
2805,locus,"vykázané místo, postavení, pozice, stanoviště ; postavení, stav ; rod, rodina ; místo, úřad, hodnost, pozice, postavení ; čas, doba ; pravý čas, vhodná příležitost, možnost, vhodný okamžik"
2806,locus,"místo v knize ; odstavec, část, díl, kus, partie ; obor ; nauka ; věc, předmět, látka"
2807,Lombardia,Lombardie
2808,Lombardia,"Lombardie (severní Itálie) ; jihoitalská oblast pod vládou Lombardů	Hamilton - Hamilton, 140"
2809,Lonbardia,Lombardie
2810,longinquus,"daleký, vzdálený"
2811,longinquus,"daleký, vzdálený, dlouhotrvající"
2812,longurius,"dlouhá tyč, dlouhé bidlo"
2813,loquor de spiritu,"mluvit z ducha (takto TDH 311:25-26, ale poté dvakrát i loquor spiritu, nepochybně v tomtéž významu)"
2814,Lucifer,Lucifer
2815,lucrum,"prospěch, zisk, bohatství,"
2816,lucrum,"prospěch, zisk, výdělek, výtěžek, výhoda ; ziskuchtivost, hamižnost, hrabivost, chamtivost, zištnost, lakota, mamonářství ; mamon, bohatství (s příhanou)	Pražák nic víc, něco přidal DZ"
2817,ludus scaccorum,"hra v šachy, šachy"
2818,Lugdunensis,lyonský
2819,lugeo,"naříkat, plakat"
2820,Lumbardia,Lombardie
2821,Lumbardicus,lombardský
2822,luminar,"světlík, okno ; svítilna, světlo	Pražák"
2823,luminaria,"osvětlení, osvětlování ; osvětlení, světla, svítilny ; svíce, svíčka ; hvězda	MLLM"
2824,luparius,lovec vlků ; vlkodav	MLLM
2825,luteus,"z bláta ; jílovitý ; zablácený ; bezcenný, ničemný, darebný"
2826,lutosus,"blátivý, z bláta"
2827,luxuria,"chlípné spojení, hanebné souložení, nechutné hrátky (chlípnost je spíše vlastnost, což se nehodí do kontextu TDH 312:10) ; vilnost, smyslnost ; chtíč (potud DZ) ; změkčilost"
2828,luxuria,nezřízenost	DZ
2829,luxuria,"přemíra, přepych, bujnost, zbujnělost, nemírnost ; marnotratnost, hýřivost, prostopášnost, zhýralost, rozmařilost, chlípnost"
2830,luxuria,"přemíra, přepych, rozmařilost, chlípnost"
2831,luxuriam complere,"ukojit chtíč	DZ ex Fournier I, 221"
2832,maccecharius,palcátník
2833,Macedonia,"Makedonie, země na sever od Řecka, většinou vnímána jako oblast od Olympu až k řece Strymonu"
2834,magnis itineribus,dlouhými pochody = velmi ryhle
2835,magnus,"důležitý, závažný"
2836,machina mundi f.,"[přímo nenal. ; označení pro svět, světový mechanismus]"
2837,machina,"stroj, přístroj ; válec (ke zdvíhání či posunování), páka ; dobývací stroj, obléhací stroj ; lstivý výmysl, obmysl, úskok, lest"
2838,machinatio,"strojové zařízení, stroj, přístroj"
2839,mala mali,"jablka z jabloně	Nitze, Perlesvaus II, 57"
2840,male,"špatně, zle ; málo, téměř ne, ne, nedosti ; nešťastně, nepříznivě, s nezdarem ; sotva, nadobro (o nevhodné míře: listy sotva drží na větvích, nadobro ochraptělý)	Pražák nic víc"
2841,malefactor,zločinec	Pražák nic
2842,maleficium,"projev nepřátelství, zločin"
2843,malitia,"zlost, zlo, lumpárna, špatnost, zlomyslnost"
2844,malitiosus,"zlý, zlovolný, věrolomný"
2845,malivolentia,"zloba, nepřízeň, nenávist ; zlomyslnost, škodolibost"
2846,malum punicum,granátové jablko
2847,malum,zlo ; jablko
2848,malus,"špatný, nekvalitní ; zlý ; škodlivý, zhoubný, neštěstí přinášející ; zlověstný, neblahý ; nešťastný, bídný, smutný ; nehezký, ošklivý ; slabý, špatný (spisovatel apod.)"
2849,mancipium,otrok	Havlík 71
2850,mandatum,"příkaz, vzkaz, zákaz, nařízení"
2851,mando,"nařídit, uložit"
2852,mando,"odevzdat, svěřit"
2853,mando,"odevzdát, svěřit"
2854,mane,ráno
2855,maneo,"zůstávat, trvat, nadále být ; zůstat (přes noc), přenocovat ; dochovat se, zachovat se, dosud být v platnosti ; čekat na koho, očekávat koho, vyčkat koho / čeho"
2856,maneo,"zůstávat, trvat, nadále být ; zůstávat, sídlit ; zůstat (přes noc), přenocovat ; dochovat se, zachovat se ; dosud být v platnosti ; čekat na koho, očekávat koho, vyčkat koho/čeho	Pražák, DZ"
2857,manifeste,"očividně, jasně, zřetelně ; otevřeně (neskrytě)"
2858,manifeste,"očividně, zřetelně, jasně"
2859,manifesto,"odhalit, zjevit, vyjevit, učinit zjevným"
2860,manifestus,"zřejmý, očividný, zjevný, patrný, jasný, nepopiratelný ; usvědčený, při činu dopadený, přistižený ; dávající najevo (nesouhlas apod.), jevící (známky života apod.)"
2861,mansis,(form. mansus)	MLLM
2862,mansus,"(délková míra, MLLM neupřesňuje)	MLLM"
2863,mansus,"dům, obydlí ; statek, hospodářství, usedlost, farma ; místo pro statek, místo k vystavění statku ; dvorec, hospodářství, jitro (statek a orná půda k němu patřící) ; država, panství ; tolik půdy, kolik zabírá dvorec ; jitro (plošná míra)	MLLM ; Pražák nic"
2864,mansus,"pozemek (sestávající z domu a zahrady, ve městě), pololáníkův / půlláníkův pozemek (snad, soudě podle ""cotter's house"", ač tam je to součást významu s tím městským domem, kde se dosti liší fr. překlad s výkladem od stručného angl. ""cotter's house"")	MLLM"
2865,manuale confessionum,zpovědní příručka	LMALB
2866,manus,"branná rota, četa"
2867,manus,"rota, četa, branná moc"
2868,manuscriptum,rukopis
2869,Maravi,Moravané
2870,marca,občina (někdy ; různý význam)
2871,marciarius,"kramář, obchodník, obchodník se střižním zbožím (ale i obecněji kramář, podobně jako historicky fr. mercier ; srv. citaci MLLM VII, s. 672 ""tam mercerii quam negociatores"", kt. také může ukazovat na nutnost širšího chápání)	MLLM"
2872,Mare internum n.,Středozemní moře
2873,mare Rubrum n.,Rudé moře	rubrum ověřeno
2874,Marchia Tervisina f.,"Treviská marka (oblast Vicenzy, Trevisa, diecéze Feltre a Belluno, možná i část Furlanska zahrnuta do tohoto termínu, uvádí Duvernoy)"
2875,marchio,markrabí (nom. Havlík v ČJ takto)
2876,Marchus,Marek
2877,Marchus,Marek
2878,maritimus,"mořský, při moři"
2879,maritimus,námořní
2880,mas,samec
2881,massa,(form. mansus)	MLLM
2882,massa,"dědičné léno, dědictví (o územích patřících velkému vlastníkovi) ; území (vlastněné určitou osobou), panství ; obvod, okrsek (""in massa Verona"" aj. ; MLLM fr. finage, angl. township) ; dav, shluk, srocení	MLLM"
2883,massa,"hmota, masa	DZ"
2884,massa,"kus ; těsto, tvárná hmota ; spousta, chaos	jen toto Pražák a Šenková"
2885,matara,galská kopí
2886,materia,"téma, látka"
2887,matrimonium,manželství
2888,matrimonium,svatba
2889,maturesco,"zrát, uzrát, dozrát"
2890,maturius,dříve
2891,maturo,spěchat
2892,maturus,"včasný, časný"
2893,maturus,"včasný, zralý"
2894,maturus,zralá
2895,maxime,a to tím spíš	vhodné v RS 47:25
2896,maxime,"nejvíce ; ponejvíc ; celkem, přibližně ; obzvláště, hlavně, zejména, právě (právě před nedávnem apod.) ; zajisté, ano (kladná odpověď)"
2897,maxime ratione,ponejvíc z toho důvodu
2898,media via f.,střední cesta	TDH 313:3
2899,media via f.,střední cesta (TDH 313:2)
2900,mediocris,neveliký
2901,Mediolanensis,milánský
2902,Mediolanum,Milán
2903,medius,"prostřední, uprostřed"
2904,mel,"med ; sladkost, sladká věc"
2905,melioramentum,(Pražák nic)
2906,melioramentum,"zlepšení, vylepšení ; zvýhodnění (ve spojitosti s dědictvím ; přilepšení zde zřejmě užít nelze ; dle výkladu sub ""melioro"" jde o zvýhodnění jednoho dědice nad jiné)	MLLM ; nic víc"
2907,melioratio,"zlepšení, vylepšení ; zvýhodnění (ve spojitosti s dědictvím ; přilepšení zřejmě za ekvivalent tohoto významu pokládat nelze ; dle výkladu sub ""melioro"" jde o zvýhodnění jednoho dědice nad jiné)	MLLM ; nic víc"
2908,melioratus,"zlepšení, vylepšení	MLLM"
2909,meliores,velmoži	Havlík 68
2910,melioro,"zlepšit, vylepšit, zvýšit hodnotu ; poopravit, vylepšit ; vyléčit, uzdravit ; (pas.) vyléčit se, uzdravit se ; opravit (věc, např. loď) ; obdařit, obdarovat, (spec.) obdařit donací	MLLM"
2911,melioro,zlepšovat	Pražák nic víc
2912,melioro,"zvýhodnit (jednoho dědice na úkor ostatních) ; (intrans.) zlepšovat se, (o člověku) dělat pokroky, lepšit se	MLLM"
2913,mellificium,včelařství
2914,member,úd
2915,membrum,"část, úd"
2916,memoria,paměť
2917,memoriam amittere,ztratit paměť
2918,memoriam remitterre,méně cvičit paměť
2919,mempheticus,memfidský	Durand
2920,mendicitas,"žebrota, žebrání"
2921,mensa,"stůl ; oltář ; pokladna ; jídlo, hostina"
2922,menstruum,"menstruace ; potraviny na měsíc ; měsíční služné	DZ, Pražák"
2923,menstruus,měsíční (měsíčně se opakující) ; měsíční (měsíc trvající)
2924,mensura,"míra, měření, měřítko"
2925,mentio,zmínka
2926,mercator,"kupec, obchodník"
2927,mercatura,"obchod, obchodování"
2928,mercede arcessere,za mzdu najmout
2929,mercedem reddo,odplatit
2930,mercenaria,trh
2931,mercenarius,"námezdný, najatý ; podplacený ; (o věcech) koupený, zakoupený, zaplacený	Pražák, MLLM"
2932,mercenarius,"nádeník, najatý člověk, brigádník ; obchodní cestující, agent, jednatel ; nájemník, nájemce ; obchodník s látkami, obchodník se střižním zbožím (vyvozeno z MLLM fr. a angl.)	Pražák, MLLM"
2933,mercennaria,trh
2934,mercennarius,"námezdný, najatý ; podplacený ; (o věcech) koupený, zakoupený, zaplacený	Pražák, MLLM"
2935,mercennarius,"nádeník, najatý člověk, brigádník ; obchodní cestující, agent, jednatel ; nájemník, nájemce	Pražák, MLLM"
2936,mercerius,"kramář, obchodník, obchodník se střižním zbožím (ale i obecněji kramář, podobně jako historicky fr. mercier ; srv. citaci MLLM VII, s. 672 ""tam mercerii quam negociatores"", kt. také může ukazovat na nutnost širšího chápání)	MLLM"
2937,mercerus,"kramář, obchodník, obchodník se střižním zbožím (ale i obecněji kramář, podobně jako historicky fr. mercier ; srv. citaci MLLM VII, s. 672 ""tam mercerii quam negociatores"", kt. také může ukazovat na nutnost širšího chápání)	MLLM"
2938,merces,"mzda, plat, odměna"
2939,merces,"mzda, plat, odměna, odplata ; odměna za práci, zvl. žold ; výnos ; cena ; podplacení, úplatek ; činže, nájemné"
2940,merces,"odměna, odplata ; mzda, plat, odměna za práci, (spec.) žold ; podplacení, úplatek ; činže, nájemné ; výnos ; cena (i přen.) ;"
2941,merces,"přízeň ; blahosklonnost ; projev přízně ; libovůle (zejm. panovníkova) ; (pl.) díky, poděkování ; odměna (nebeská), spása ; zbožný dar, donace (pro spásu duše)	MLLM, Pražák,"
2942,mere,(MLLM ani Pražák nic)
2943,mere,"čistě, bez příměsi (Pražák ani Šenková nic)"
2944,merens,zasloužilý
2945,meretricium,prostituce
2946,meretrix,"nevěstka, prostitutka, kurtizána"
2947,merito,právem
2948,merum,"čisté víno, nemíšené víno, neředěné víno"
2949,merum,"neředěné víno, čisté víno, nemíšené víno"
2950,merum,"území, oblast	MLLM"
2951,merus,"čistý, nemíšený, neředěný, nesmíšený ; (přen.) čistý, pravý, opravdový ; plný, neomezený ; pouhý, čirý ; samý (""meri principes"" samé významné osobnosti)"
2952,merus,dávka čistého / nemíšeného vína	MLLM
2953,messagarius,posel	MLLM
2954,metior,vyměřit
2955,meto,"měřit, vyměřovat (častěji však depon.)"
2956,meto,"kosit, žít"
2957,mihi est aliquod curae,mám něco na starosti
2958,mihi opus est,potřebuji
2959,Milicius,Milíč z Kroměříže
2960,mille passus,míle
2961,mina,mina (váhová a cenová jednotka)
2962,mina,mina (váhová jednotka)
2963,minae,"hrozby, výhrůžky	Pražák nic víc, Thouz. potvrzuje"
2964,minae,"hrozby, výhrůžky"
2965,minime,"ani v nejmenším, ani zbla"
2966,minime,"ne, nikoliv, nikoli, vůbec ne, rozhodně ne, ani v nejmenším"
2967,minime,"vůbec (někdy vhodný překlad, viz RS 59:26)"
2968,minister,hodnostář	DZ
2969,minister,"služebník, sluha, pomocník, přisluhovač, podúředník, posluhující (při jídle), kněz ; náhončí, napomahač, podporovatel, vykonavatel"
2970,ministerium,"okrsek, obvod (na kterém vykonává nějaký úředník či pověřenec svou funkci) ; dvorec (oblast pod správou jednoho šafáře) ; okrsek, obvod (soubor statků, jejichž výnosy plynou do jednoho ?dvorce? ; MLLM angl. ""household department"", fr. ""service"")	MLLM"
2971,ministerium,"řemeslo ; cech ; nástroje, nářadí, náčiní ; nábytek ; mobiliář (např. chrámový) ; liturgické náčiní, kalich a paténa ; svěřenství (statky přidělené úředníkovi za odměnu) ; zásobování, zásobování potravinami ; nádobí, příbory, servis ; příborník ; patro, p	MLLM"
2972,ministerium,"služba ; úřad, veřejná funkce ; služebnictvo ; podúředníci ; funkce majordoma, majordomství, důstojenství majordoma (asi, DZ ex MLLM, přímo ""majordom"" tu v angl. ani fr. není)	Pražák, MLLM, DZ"
2973,ministerium,"služba, úřad ; služebnictvo, podúředníci"
2974,ministerium,"vysluhování svátostí, udílení svátostí, Boží služba ; péče o duše, pastýřská péče, pastorace ; církevní důstojenství, církevní úřad ; církevní okrsek (diecéze či farnost)	MLLM"
2975,ministro + dat.,podsouvat (ve smyslu našeptávat)	DZ ex TDH 311:27
2976,ministro,"přisluhovat, posluhovat, podávat (o jídle či nápoji) ; opatřit (i co čím), obstarat ; poskytovat ; vykonávat, provádět"
2977,minor,mladší ; menší
2978,minuo,urovnávat
2979,mirabile est,"je divné, je podivné"
2980,mirabilia n. pl.,zázraky	MLLM
2981,mirabilis,(MLLM nic)
2982,mirabilis,"podivuhodný, zvláštní, podivný, neobyčejný"
2983,mirabilis,zázračný	DZ
2984,Mirosclauus,Miroslav
2985,mirum in modum,podivuhodně
2986,miser,"(v MLLM je fr. a angl. ekvivalent, kt. znamená zároveň ""nebohý"" i ""ničemný"", takže odtud, stejně jako z uváděných citací, nelze určit, zda má slovo i význam ""ničemný"")"
2987,miser,"(ve významu mizerný, hnusný, odporný nenal. Pražák ani Šenková ; Moneta 61a píše miser haereticus, což ovšem také může znamenat nešťastník)"
2988,miser,"bídný, ubohý, nešťastný ; chudý, skrovný, nepatrný (o věcech) ; špatný, smutný	Pražák ani Šenková nic víc"
2989,miseria,"bída, neštěstí, obtíž, trápení, utrpení"
2990,miseror,"naříkat, plakat, litovat"
2991,miserum!,běda!
2992,misterium,(neklas. pro mysterium)
2993,mitigo,zmírnit
2994,mitis,"jemný, měkký ; sladký, zralý, lahodný ; mírný, klidný, tichý ; krotký (o zvířeti)"
2995,mittes,tiší (většinou mites)
2996,mitto + dat.,vzkázat komu??? [výskyt DHC 308:25]
2997,mitto,"poslat, odeslat, propustit"
2998,mitto,"poslat, posílat, věnovat, seslat = způsobit (komu co), házet, metat, mrštit, položit, nasypat, vydávat, pouštět, vypouštět, vrhnout se na, snést se, propustit (koho ze služby), rozpustit (senát), upustit od čeho, přejít mlčením"
2999,mitto,"seslat, metat, vrhnout, mrštit, hodit"
3000,mitto,"vzkázat komu (co, aby udělal co atd.)	TDH 309:16"
3001,mixtum,nemíšené víno
3002,mobilitas,"hbitost, pohyblivost"
3003,moderor,"krotit, ovládat, mírnit"
3004,modicum,"troška, něco málo"
3005,modo,hned potom
3006,modo,"jen, pouze"
3007,modo,"jen, pouze ; právě (časově), právě teď, právě před chvílí, nedávno, nedávno ještě, hned potom"
3008,modo,"jen, pouze ; teď, nyní (nejlepší RS 42:7, 49:2 a Parnaclatin 146, ač Pražák neuvádí) ; právě (časově), právě teď, před chvílí, nedávno, nedávno ještě ; hned potom ; odnedávna (nejlepší v DHC 312:8 ; RS 58:15) ; za okamžik, ve chvilce"
