id,czech_word,english_translation
3281,cizmec,1. stranger 2. alien 3. foreigner (male)
3282,cizinecký,aqj. foreign
3283,cizinecký úřad,Aliens Office
3284,ctnost,"virtue, see also cudnost"
3285,cukrář,"confectioner, pastry cook"
3286,cukrovar,"sugar factory, sugar refinery"
3287,cvočkař,stud maker
3288,cyklus,cycle
3289,devatenáctiletý cyklus,lunar cycle of nineteen years (chron.)
3290,solární cyklus,solar cycle (chron.)
3291,cysta,cyst (med.)
3292,čarodějnice,witch
3293,čarodějnictví,witchcraft
3294,čas,1. time 2. tense 3. see měsíčky
3295,časopis,"periodical, joumal, magazine, serial"
3296,Čechy,Bohemia
3297,čeledín,"domestic farm band, groom"
3298,dostat se pod čepec,"(=,,to get under bonnet"") to get married"
3299,přijít pod čepec,"(=,,to come under bonnet"") see dostat se pod čepec"
3300,čepice,cap
3301,čepovat,to tap (a barell ofbeer)
3302,černý obchod,illicit trade
3303,černý trh,black market
3304,červ,see roup
3305,červen,June
3306,červená,"usu. růže, but see also úplavice"
3307,červenec,July
3308,červenka,see úplavice
3309,Československá republika,the Czechoslovak Republic
3310,československá církev husitská,the Czechoslovak Hussite Church
3311,Československý válečný kříž 1918,the Czechoslovak 1918 War Cross
3312,čeští bratří,"see bratr, also see jednota bratrská"
3313,česnekář,garlic-seller
3314,čest,honour
3315,čestný,"honest, honourable, honorary"
3316,čestné prohlášení,affidavit
3317,Češka subst. ,1. Czech 2. Bohemian (female)(hist.)
3318,četa,"troop, platoon"
3319,četař,sergeant
3320,četnický,adj. gendarme
3321,čihařství,fowler's trade
3322,činže,rent
3323,číslo,number
3324,číslo časopisu,issue nuinber (of magazíne)
3325,přírůstkové číslo,accession/inventory number (ofa book)(lib.)
3326,číšnice,waitress
3327,číšník,waiter
3328,čižba,see čihařství
3329,článek,article
3330,článek víry,article of faith
3331,člen,"member (of a club), Fellow (of a scientific society) (male)"
3332,členka,"member (of a club), Fellow (of a scientific society) (female)"
3333,členství,membership
3334,člověčenství,"homage, serfdom"
3335,člověk,"man (human being), pl. see lidé"
3336,čmýra,see měsíčky
3337,čtenářský,reader's
3338,čtenářský požadavek,reader's request
3339,čtvrt,quarter
3340,česká čtvrtce,"Bohemian čtvrtce (1/16 of Bohemian strych = 5,849)"
3341,vídeňská čtvrtce,"Viennese čtvrtce (1/8 of měřice = 7,686)"
3342,čtvrtenice,see malárie čtyřdenní
3343,čtvrtina,fourth (part)
3344,čtvrtláník,peasant owning one quarter of lán
3345,čtvrtletí,quarter (ofyear)
3346,čtvrtletní,quaterly
3347,čtvrtnice,see malárie čtyřdenní
3348,čtvrtodenní,quartan
3349,činžovní daň,rent(al) tax
3350,daň z hlavy,"capitation tax, poll tax"
3351,daň z příjmu,income tax
3352,přímá daň,direct tax
3353,dar1. present,2. see darování
3354,"jitřní dar rooming gift, see also dar manžela svatební dar manžela","(=,,husbanďs wedding gift"") dower, moming gift"
3355,dárce,"donor, donator"
3356,darování,"gift, presentation"
3357,datační formule,dating clause
3358,datování Velikonoc,Baster style
3359,datovat,to date
3360,datum,subst. date
3361,bez data,dateless
3362,decimální,see desetinný
3363,dědická dohoda,mutual wills
3364,dědická posloupnost,heirdom
3365,dědický podíl,portion
3366,hlavní dědic,principal heir
3367,zákonný dědic,legitimate heir
3368,princip dědičnosti,hereditism
3369,dědičný,"hereditary, inherited, ancestral, hereditable"
3370,dědičná hodnost,hereditary <lignity
3371,dědičný statek,"allodium16, patrimony"
3372,dedikace,dedication
3373,dedikovat,to dedicate
3374,dědina,1. piece ofpeasanťs land in his hereditary possession (esp. field) 2. village (esp. in Moravian dialects)
3375,Pražská defenestrace,Prague Defenestration17
3376,dekáda,decade
3377,dekorovat,see vyznamenat
3378,delegovat,1. to depute (to) 2. to defer
3379,dělení stínkami (cimbuh),embattled (heral.)
3380,dělostřelec,"artilleryman, bombardier"
3381,demagog,demagogue
3382,demise,resignation
3383,demografie,demography
3384,cestovní deník,itinerary
3385,denně,every day
3386,denní,daily
3387,dennost,see dna
3388,dentista,"dentist, dental surgeon"
3389,depositář,"archival store, depository, remote stora- ge (in the library)"
3390,deputace,see poselstvo
3391,desátek,"1. tithe (hist.) 2. churchscot (hist., rel.)"
3392,desatero,Decalogue
3393,descendent,subst. descendant (= a lineal or colla- teral blood relative)
3394,desky zemské,Public Records19
3395,dešifrovat,to decipher
3396,děti pocházející z manželství,children issuing from (this) marriage
3397,dětinec,see děloha (hist.)
3398,dětská práce,child labour
3399,dětské neštovice,see neštovice plané
3400,děvčátko,little girl
3401,děvče,"1. see dívka 2. (maid)-servant, servant(-girl) (hist.)"
3402,děvečka,"1. fann-maid (hist.) 2. little girl, especially daughter"
3403,deviza,see heslo
3404,dezertovat,see zběhnout to desert (from)
3405,diakon,see jáhen
3406,diakritický,diacritical
3407,diakritická znaménka,diacritical marks
3408,diář,see deník 1.
3409,diktatura,dictatorship
3410,vojenská diktatura,military dictatorship
3411,dílna,workshop
3412,dílovedoucí,see předák
3413,diplom,1. diplom (dipl.) 2. degree certificate
3414,Říjnový diplom,the October Diploma
3415,diplomacie,diplomacy
3416,diplomatář,book of copies of diplomatical documents (dipl.)
3417,diplomatika,diplomatics
3418,direktor,director
3419,disident,dissident
3420,diskreditace,discreditation
3421,udělit dispens,to grant a dispensation/dispense
3422,disposice,disposition
3423,dítě,"child, baby, infant"
3424,odložit dítě,to abandon a child
3425,dmutí,see rozedma plic
3426,dna,gout
3427,dna střevní,see neprůchodnost střev
3428,dobytek,cattle
3429,docent,"docent (Centra] and East Europe), senior lecturer/reader, associated professor"
3430,soukromý docent,private docent
3431,dodatek,"addition, appendix"
3432,dohazovač,"matchmaker, marriage broker (male)"
3433,dohazovačka,"matchmaker, marriage broker (fe- male)"
3434,dohoda,"agreement, treaty, accord"
3435,Mnichovská dohoda,see smlouva
3436,dojička,dairymaid
3437,doklad,"document, paper, proof"
3438,doklad o zpopelnění/kremaci,document/certificate of cremation
3439,domácí zvířata,domestic animals
3440,domácnost,household
3441,jednoduchá rodinná domácnost,simple family household (dem.)
3442,rozšířená rodinná domácnost,extended family household (dem.)
3443,složená rodinná domácnost,multiple family household (dem.)
3444,domicil,domicil
3445,dominikalista,peasant who rented his farm from the local landlord (dominikalista is literally one living on dominikál)
3446,domkář,literally owner of a small house (= do-
3447,domobrana,militia
3448,domov,home
3449,dosvědčit,see svědčit
3450,dotaz,"request, query, enquiry"
3451,dožínková slavnost,harvest festival
3452,dožínky,harvest home
3453,dráb,"(bum-)bailiff, herald (villager who made public announcements ofnobility), catchpole (hist.)"
3454,dračka,feather-stripper (female)
3455,drahý,1. dear 2. expensive
3456,drajlink,cubic measure (esp. ofwine) (metro!.)
3457,český drajlink,"Bohemian drajlink (= 640 pints = 12,52 hl)"
3458,drátař,wire maker
3459,drožkář,cabman
3460,drůbež,"poultry, (bamdoor) fowls"
3461,drůbežář,poulterer
3462,drůbežník,see drůbežář
3463,druh,"1. cohabitant, common-law husband"
3464,druhopis,"duplicate, see also duplikát"
3465,druhorozený,second(-bom)
3466,družička,"1. bridesmaid, best maid, paranymph"
3467,družka,common-law wife
3468,drvoštěp,see dřevorubec (hist.)
3469,držitel,"holder, occupier, keeper, see also vlastník and majitel"
3470,duben,April
3471,Duch svatý,"the Holy Ghost, the Holy Spirit"
3472,duchovenstvo,clergy
3473,duchovní řád,religious order
3474,duktus,weight (of script)
3475,zlaté doly,gold mines
3476,dům,house
3477,činžovní dům,block of flats
3478,Dunaj,the Danube
3479,duplikát,"duplicate, added/second copy"
3480,důstojnost,"Reverence (title ofprelate, abbot, and canon)"
3481,důstojný,reverend
3482,dušatce,see dušnost
3483,duše,soul
3484,dušnost havířská,see zaprášení plic
3485,dušnota,see dušnost
3486,důvěrný,"intimate, familiar"
3487,dvojče,twin
3488,dvojspřeží,"carriage/coach and pair, pair ofhorses"
3489,dvořan,"courtier, henchman"
3490,dvořanka,lady of the court
3491,královský dvůr,royal court
3492,vrchnostenský dvůr,"manorial farm,25 grange"
3493,Habsburská dynastie,the Hapsburg/Habsburg Dynasty
3494,Přemyslovská dynastie,the Přemyslid Dynasty
3495,dyzentérie,dysentery
3496,džber,tub
3497,editor,see redaktor
3498,elita,elite
3499,emigrantka,see vystěhovalec (female)
3500,emigrovat,see vystěhovat se
3501,enchiridon,"enchiridon, handbook"
3502,enkláva,enclave
3503,erbovní znamení,"heraldic charge, figure (heral.)"
3504,erbovník,"1. bearer of the coat-of-arms, especially burgher (non-nobleman) 2. see armorial"
3505,eskadra,squadron
3506,eskadrila,flight
3507,eskadrona,squadron (of cavalry)
3508,eucharistie,"Eucharist, see also svátost oltářní"
3509,evangelistář,evangelistary
3510,evangelium,the Gospel
3511,hlásat evangelium,to preach the Gospel
3512,šířit evangelium,to spread the Gospel
3513,evangelizovat,to evangelize
3514,excerpce,excerption
3515,excerpovat,to excerpt
3516,expedice,expedition
3517,expert,expert
3518,expozitura,branch(-office)
3519,expres,express
3520,exulant,exile (esp. person expelled for religious or political reasons)
3521,exulantský,exiles' (e.g. books)
3522,faktorie,see továrna (hist.)
3523,faktura,invoice
3524,fakulta,faculty
3525,matematicko-fyzikální fakulta,Faculty of Mathematics and Physics
3526,teologická fakulta,Faculty ofTheology
3527,falzifikát,"falsification, see also padělek"
3528,familiant,"l. peasant being a holder of „familie"", bought (not rented) farm (hist.) 2. Jewish man having permission for starting a family (hist.)"
3529,fanatický,adj. fanatic
3530,fanatik,subst. fanatic
3531,náboženský fanatik,bigot
3532,farní,"adj. parish, parochial"
3533,farní obvod,"parochial district, parish"
3534,farník,parishioner
3535,fascikl,fascicle
3536,fasse,tax return
3537,městská fasse (tereziánského katastru),",,town return"" (ofthe Land-Registry ofMary Theresa) (hist.)"
3538,rustikální fasse (tereziánského katastru),",,rusic retum"" (ofthe Land-Registry ofMary Theresa)(hist.)"
3539,školní fasse,school reports
3540,fenik,pfennig (small coin used esp. in German states)(num.)
3541,feudální,adj. feudal
3542,fiakr,cab
3543,ficka,skivvy (maid-of-all-work)
3544,filigrán,see vodoznak
3545,flašinetář,organ-grinder
3546,flašnéř,metal potmaker
3547,fleky,see skvrnivka epidemická
3548,forman,coachman (goods only)
3549,formát,format
3550,formulář,1. formulary (dipi.) 2. form
3551,fořtovna,wood-ranger's/forester's house
3552,francouzská nemoc,see nemoc francouzská
3554,fraucimor,lady's women (hist.)
3555,frejmark,see směna
3556,fundátor,founder (e.g. ofa monastery)
3557,furunkl,see hnisavý zánět podkožní tkáně
3558,fysik,see fyzik
3559,fyzik(us),physician (with a special approval for public medical activities)
3560,fyziognomie,physiognomy
3561,galantérie,haberdashery
3562,galeje,galleys
3563,Národní garda,National Guard
3564,genealog,"genealogist, see also rodopisec"
3565,genealogický,genealogical
3566,generál,subst. general
3567,generální,adj. general
3568,gravidní,gravid
3569,grešle,"groschel (small copper coin, used from the times ofMaria Theresa [1740-1780])"
3570,groš,grosch(en)(num.)
3571,kopa grošů,sixty/threescore of groschen
3572,grunt,"farm as a whole (from Germ. ,,Grund"")"
3573,gruntovní,"of „grunt"""
3574,gruntovní kniha,see pozemková kniha
3575,gruntovnice,see pozemková kniha (hist.)
3576,gruntovník,"possessor of the „grunt"" = peasant"
3577,gymnasista,student of secondary/high school (male)
3578,gymnasistka,student of secondary/high school (female)
3579,gymnasium,secondary grammar school/high school
3580,habilitace,habilitation (academic qualification)
3581,haléř,"heller (small coin, part of crown)(num.)"
3582,halíř,see haléř
3583,petrský halíř,see svatopetrský halíř
3584,svatopetrský halíř,Peter's penny/pence
3585,Halič,Galicia
3586,hamr,"iron-mill, hammer-mill (hist.)"
3587,hamrník,"steel worker, forger (hist.)"
3588,handlíř,"dealer, bargainer"
3589,hasičstvo,fire brigade
3590,hatva,see záhať and nádor zhoubný
3591,hejtmanství,a basic rank of state political administration head ofwhich is hejtman (hist.)
3592,kolčí helm,tilting-helm
3593,helma,helmet
3594,helmice,"casque (hist.), see also přilba"
3595,hemoroid,hemorrhoid
3596,herald,herald
3597,heraldický,"heraldic, armorial"
3598,hermelín,ermine (heral.)
3599,heroldské figury,honorable ordinaries (heral.)
3600,hiát,hiatus
3601,hierarchie,hierarchy
3602,historie,history
3603,historik,historian (male)
3604,tajné hlasování,secret ballot
3605,hlasovat,to vote
3606,hluchý,deaf
3607,hnačka,see úplavice střevní
3608,hnisání v dutině pohrudniční,suppuration in pleural cavity (med.)
3609,hnisat,to fester
3610,hnisavá neštovice,see neštovice pravé
3611,hodinář,"clockmaker, clock repair"
3612,hodiny,clock
3613,císařská hodnost,imperial lignity
3614,dědičná královská hodnost,hereditary rank of king
3615,hodnota,value
3616,hodnověrnost,"reliability, authenticity, credibility"
3617,nejvyšší hofmistr království,"Lord High Steward (Britain), see Příloha"
3618,nejvyšší královský hofmistr,"Lord Steward of the Household (Britain), see Příloha"
3619,hoch,see chlapec
3620,holdovací přísaha,oath of allegiance
3621,holdovat,to pay homage
3622,holič,barber
3623,holírna,barber's shop
3624,holocaust,holocaust
3625,hon,1. chase 2. hunt
3626,honec,beater (proceeded hunt)
3627,horečka šestinedělí,see horečka omladnic
3628,horečka z rány,see otrava krve
3629,horečka žlázová,see mononukleóza infekční
3630,horečka žňová,see leptospiróza
3631,lodní horečka,ship fever (see tyfus břišní)
3632,zlatá horečka,see zlatý
3633,horník,"miner, collier"
3634,horoučka,see tyfus břišní
3635,zájezdní hospoda,"road house, inn"
3636,hospodářka,"1. farmer (female)(hist.) 2. mistress, landlady (hist.)"
3637,lesní hospodářství,forestry
3638,střídavé hospodářství,rotation of crops
3639,hospodská,"1. innkeeper (female), landlady"
3640,houfnice,howitzer (milit.)
3641,housenka,caterpillar
3642,housenky,see škvrkavky
3643,houser,gander
3644,hovězí,beef
3645,hovězí dobytek,cattle
3646,hrabě,Count (in England Earl)
3647,hrábě,rake
3648,hraběnka,Countess
3649,hrad,castle
3650,hradba,"barrier, wall"
3651,hrách,peas
3652,upálit na hranici,to bum at the stake
3653,hraničář,"borderer, frontiersman (lived on the frontier with wildemess)"
3654,hraniční,"adj. border, frontier, boundary"
3655,hrnčíř,"potter, ceramic potmaker"
3656,hrob,"grave, tomb"
3657,hromadný hrob,mass grave
3658,hrobka,"vault, crypt"
3659,Hromnice,"Candlemas (February 2), see also Očišťování Panny Marie"
3660,hrošitý,see sešlý věkem
3661,hrouda,clod
3662,hřbet (knihy),back/spine (of a book)
3663,hřích,sin
3664,smrtelný hřích,deadly/mortal sin
3665,těžký hřích,see smrtelný hřích
3666,hřivna,"talent (measure ofweight, esp. of gold and silver)(metrol.)"
3667,česká hřivna,"Bohemian talent (= 1/2 of Bohemian pound = 256,9 g)"
3668,vídeňská hřivna,"Viennese talent(= 280,006 g)"
3669,hutník,"ironworker, smelter"
3670,chalupa,"1. cottage, a small farm with least land-property (hist.)	2. weekend-house (coll.)"
3671,chalupník,"literally owner of a cottage, i.e. cottager. Cottager possessed a cottage (= chalupa) and land property smaller than farmer, but larger than domkář who possessed usually only a garden and orchard, maximally one small field.1 (hist.)"
3672,chirograf,"chirograph(y), see also cedule řezaná"
3673,chlebodárce,"employer, master"
3674,chmelnice,hop-garden
3675,přestat s někým chodit,to jilt (e.g. a boy)
3676,cholera (asijská),cholera
3677,chór,"1. chancel, choir 2. chorus"
3678,choroba,see nemoc
3679,chorobinec,see nemocnice (hist.)
3680,chorý,"invalid, sick, diseased, ill"
3681,choť,"spouse, consort"
3682,chov,"breeding, rearing"
3683,chov drůbeže,poultry-farming
3684,chov včel,"bee-keeping, apiculture"
3685,chovanec,see schovanec
3686,chovanka,seeschovanka
3687,chrám,"temple, cathedral, minster"
3688,chřadnutí,see sešlost věkem and tuberkulóza and zhoubný nádor
3689,chudobinec,almshouse (hist.)
3690,chudokrevnost,anaemia (med.)
3691,chudý,poor
3692,churavý,see neduživý
3693,chybějící,missing
3694,chybět,to miss
3695,identický,identical
3696,diplomatická imunita,diplomatic immunity
3697,inaugurace,inauguration
3698,inaugurovat,to inaugurate
3699,index,index
3700,indikační skica,"„indication sketch"""
3701,infarkt srdeční akutní,"heart attack, infarction, coronary thrombosis"
3702,infule,"mitre/miter, see also mitra"
3703,iniciály,initials
3704,inkolát,domicile right in the Kingdom of Bohemia for aristocracy (citizenship in feudal period)(hist.)
3705,inkoust,ink
3706,inkubace,incubation
3707,insert,insert (<lip!.)
3708,insignie,insignia
3709,inskripce,inscription (address)(dipl.)
3710,první instance,the first level of promotion (e.g. local authorities)
3711,intelektuál,subst. intellectual
3712,interdikt,see klatba
3713,internace,intemment
3714,interpunkce,subst. punctuation
3715,interpunkční,adj. punctuation
3716,interpunkční znaménko,"punctuation mark, point"
3717,interregnum,interregnum
3718,interupce,"abortion, termination of pregnancy"
3719,intimát,inside report
3720,intitulace,intitulation (superscription)(dipl.)
3721,intravilán,village core (built-up area of the village)
3722,intrika,intrigue
3723,intrikán,intriguer
3724,intronizace,enthronization
3725,invalida,"invalid, cripple, disabled"
3726,investitura,investiture
3727,invokace,invocation
3728,itinerář,"itinerary, travelogue"
3729,Izraelita,Israelite
3730,izraelský,Israelite
3731,Jan Křtitel,St. John the Baptist (June 24)
3732,jarmarečník,barker
3733,jarmark,fair
3734,ječmen,barley
3735,jednobřišní,adj. see polorodý (gen.)
3736,jednolistový tisk,"broadsheet, broadside"
3737,jednota,unity
3738,jednota bratrská,"Unitas Fratrum, Unity of Brethem, see also bratr - čeští bratří"
3739,panská jednota,baronial league
3740,jednotka,unit
3741,jehně,lamb
3742,jeptiška,nun (a member ofreligious order or cong- regation ofwomen)
3743,jesličky,see betlém
3744,jinověrec,heterodox person
3745,jirchárna,tewery
3746,jirchář,tewer (tanner ofhides)
3747,jistina,capital
3748,jít do ciziny,to go abroad
3749,jít do ilegality,see jít do podzemí
3750,jít do kláštera,"to take the veil (woman), to take orders (man)"
3751,jít do penze,to be retired on a pension
3752,jít do podzemí,to go underground
3753,jít do služby,to go into service
3754,jít do stávky,to go on strike
3755,jít na studie,to go on studies/university (hist.)
3756,jít na zkoušku,see jít ke zkoušce
3757,jít na zkušenou,to do one's apprenticeship
3758,jít po stopách,to follow the tracks
3759,jít světem,to wander about
3760,jít za kmotra/kmotru,to stand as godfather/ godmother
3761,jít za prací,to go job-hunting
3762,jít za svědka,to be a witness (of a person)
3763,jít žebrotou,to go begging
3764,jitřní,adj. moming
3765,jitřní dar,see dar
3766,jitřní mše,moming mass
3767,jizba,"room, chamber (hist.)"
3768,jmenný popis,see bibliografický popis
3769,jméno,name
3770,pomístní jméno,local geographical name
3771,jmenování,"appointment (as), designation, nomination"
3772,jmenovaný,mentioned below/hereafter
3773,níže jmenovaný,mentioned/said bellow
3774,výšejmenovaný,"above mentioned/said, aforeaid"
3775,jmenovec,namesake (male)
3776,kachně,duckling
3777,církevní kalendář,ecclesiastical calendar
3778,gregoriánský kalendář,"Gregorian (new) style,"
3779,kalich,chalice
3780,kališník,"Calixtine, see also Hussite, Utraquist"
3781,kancelář,"1. chancery, chancellery (institution, e.g. papal ch., royal ch.) 2. office"
3782,česká dvorská kancelář,Chancellery at Court of Bohemia
3783,kancelářské vyhotovení,chancery documents
3784,kandidovat,to be/sit/appear as a candidate
3785,kandidatura,candidature
3786,kánon,canon
3787,kanonický,canonical
3788,kapitula,chapter
3789,metropolitní kapitula,metropolitan chapter
3790,řeholní kapitula,regular chapter
3791,kapitulní,chapter
3792,kapitulní vikář,chapter vicar
3793,kaplan,chaplain
3794,vojenský kaplan,see polní kurát
3795,kaple chapel kapr carp kaprál,corporal
3796,karbunkl,"carbuncle, also see hnisavý zánět podkožní tkáně"
3797,karcer,detention after school
3798,kardinál,cardinal
3799,kariéra,career
3800,karmelitán,Carmelite
3801,karmelitánka,Carmelite nun
3802,karneval,camival
3803,karta,card
3804,karton,box (for preserving files in archives)(arch.)
3805,kartotéka,card-index
3806,kartouza,Charterhouse (Carthusian monastery)
3807,kašel dávivý,whooping cough
3808,autorský katalog,author catalogue
3809,místní katalog,shelflist
3810,josefinský katastr,the Land-Registry of Joseph II. (hist.)
3811,katastr obyvatel,"(=,,cadastre ofinhabitants""), see soupis obyvatel"
3812,stabilní katastr,(so-called) Stahle Land-Registry (hist.)
3813,tereziánský katastr,the Land-Registry ofMaria Theresa (hist.)
3814,katastrální obec,(cadastral) district/ township
3815,katastrofa,catastrophe
3816,přírodní katatstrofa,havoc
3817,katolická církev,Catholic Church (Roman Catho- lic Church)
3818,katolictví,Catholicism
3819,kavárník,coffeehouse proprietor
3820,kázat,to preach
3821,kázat Slovo Boží,to preach the Word of God
3822,káznice,"penitentiary, workhouse"
3823,kejla,see kýla
3824,kladivo,hammer
3825,klamfýř,"tinsmith, specializing in kitchen utensills"
3826,klání v prsou,see zánět plic and zánět pohrudnice and píchání na prsou
3827,klání boční,see zánět plic and zánět pohrudnice and píchání na prsou
3828,klást,"to put down (money), see also položit"
3829,klást počet,to account for (hist.)
3830,dát do klatby,to put under interdict
3831,klausura,enclosure
3832,klempíř,"tinsmith (specialized in storm pipes and gutters), metalworker"
3833,klenotník,jeweller (male)
3834,klerik,see duchovní
3835,klerika,"clerical dress, see also sutana"
3836,klérus,"clergy, see also duchovenstvo"
3837,kleštič,"castrator (equestrian, farm animals)"
3838,kletba,malediction
3839,klima,climate
3840,klimaktérium,"menopause, climacteric"
3841,kloubů bolesti,see zánět kloubů
3842,kluk,boy
3843,kmen,"l. tribe 2. stem, trunk"
3844,kmetična,peasant woman (hist.)
3845,kmotr a kmotra,godparents
3846,stát za kmotra,to stand as godfather to
3847,kmotra,godmother
3848,kněžna,princess
3849,kněžský,"clerical, priestly, sacerdotal"
3850,kněžský seminář,see seminář
3851,kněžství,priesthood
3852,kniha,book
3853,kniha černá,book of capital sentences
3854,kniha dluhů,see kniha obligací
3855,kniha domovní,book of house markets
3856,kniha hraničná,book of boarders (of estates)
3857,kniha hrdelní,see kniha černá
3858,kniha krevní,see kniha černá
3859,kniha obstavuňků,see kniha stavuňků
3860,kniha počtů,book of town taxes and finances
3861,kniha popravčí,see kniha černá
3862,kniha příjemná,book of newly entered burghers
3863,kniha rychtářského práva,book of mayor's right
3864,kniha sirotčí,orphans' book
3865,kniha smluv přátelských a porovnání,book of arbitrator's decisions
3866,kniha smolná,see kniha černá
3867,kniha snoubenců,book of betrothed
3868,kniha stavuňků,book of impounds
3869,kniha svěcenců,book of ordinees
3870,kniha testamentů,book of testaments
3871,kniha trhová,book of markets
3872,kniha trhovní,see kniha trhová
3873,kniha ubrmanských smluv,book of arbitrator's contracts52
3874,kniha vejhostů,see kniha zhostná
3875,kniha vejpisů,book of extractions
3876,kniha zápisná,"see kniha trhová, see kniha obligací"
3877,kniha zhostná,book of copies of letters confirming abandonding of serfs
3878,kniha zhostů,see kniha zhostná
3879,"kniha žalob, odporů a nálezů","book of accusations, protestations and findings"
3880,knihy židovských familiantů,books of Jewish familiants
3881,památná kniha,see kniha pamětí
3882,knihovna,library
3883,Knihovna Národního muzea,The National Museum Library
3884,odborná knihovna,special library
3885,příruční knihovna,departmental library
3886,Strahovská knihovna,Strahov Library (Library of the Royal Canonry of Premonstratensians)
3887,knihovní fondy,book stacks/collection (lib.)
3888,knížata z rodu Přemyslova,the princes from the House of Přemysl
3889,knížectví,principality
3890,knížka,see kniha
3891,vojenská knížka,soldier's identification card (literally soldier's book)
3892,knížní vazba,bookbinding
3893,sáčková vazba,girdle-book
3894,knoflíkář,button-maker
3895,kňahně,"see neštovice pravé (hist., med.)"
3896,kobercář,carpet-maker
3897,kobyla,mare kočár carriage kočí coachman
3898,kočovat,to lead a nomadic life
3899,kód,code
3900,kódovat,to encode
3901,Kodex kanonického práva,Code of Canon Law
3902,kognát,cognate (descendant on the mother's side/ distaff-side)
3903,kohout,rooster
3904,kolaborace,collaboration
3905,kolatura,parish district
3906,kolébka,cradle
3907,od kolébky do hrobu,from the womb to the tomb
3908,koledník,caroller
3909,kolega,colleague
3910,kolej,"1. college (hist.) 2. hall, hostel, fratemity"
3911,komise,commission
3912,zemská vyvazovací komise,Provincial commission for disengagement of robota
3913,komnata,"bower, chamber"
3914,kompaktáta,Compacts
3915,kompanie,"company (military unit) (hist., milit.)"
3916,kompendium,compendium
3917,komplikace,complication
3918,komplikace v těhotenství,complications in
3919,komplikace při porodu,complication during childbirth
3920,komplikace v šestinedělí,see horečka omladnic
3921,komtesa,comtesse
3922,Tridentský koncil,Council of Trent
3923,konfirmace,confirmation (e.g. of a privilege)
3924,řeholní kongregace,religious congregation
3925,kontrola porodnosti,birth-control
3926,konvent,convent
3927,konzul,consul
3928,kooperátor,"(literally cooperating priest) parochial vicar, chaplain"
3929,kopa,threescore (unit of calculation = 60 pieces)
3930,kopiář,cartulary (dipl.)
3931,kopie,copy
3932,ověřená kopie,authentic copy
3933,kopírovat,to copy
3934,kopista,copy-clerk
3935,kopyta,"hooves, see also zbroj (herald.)"
3936,korbel,tankard
3937,korbelář,bucketmaker
3938,kord,sword
3939,kordule,camisole
3940,český korec,"Bohemian korec (= 8112 square Bohemian ells = 0,285 ha), see also jitro and strych	2. Bohemian (Prague) korec(= 4 věrtels = 16 měřičkas = 93,5871)"
3941,korespondence,correspondence
3942,korunní princ,Crown prince
3943,korunovace,coronation
3944,korunovační klenoty,coronation jewels
3945,kořenářka,herbalist (female)
3946,kosa,scythe
3947,travní kosa,grass scythe
3948,kosař,scythe-maker
3949,kosit,to mow
3950,farní kostel,parish/parochial church
3951,filiální kostel,affiliated church
3952,kostelník,"sacristan, verger, church keeper, parish clerk"
3953,kostižer,see zánět kostní dřeně
3954,dát někomu koš(íčk)em,to jilt somebody
3955,košer,kosher
3956,kovosoustružník metal turner kovotepec,"metal chiseller, metal-beater koza goat, she-goat, nanny-goat"
3957,kozel,"he-goat, billy goat"
3958,koželuh,tanner
3959,kožešina,1. fur 2. fur (heral.)
3960,kožešník,furrier
3961,kráčející,(literally walking) passant (e.g. lion)
3962,krajový,"regional (e. g. custom, song)"
3963,krajský,regional (e. g. court of law)
3964,krajská vláda,(= regional government) see
3965,krajský úřad,Regional (administrative) Office
3966,kralevic,"prince, see also kníže, princ"
3967,královská komora,Royal Chamber (hist.)
3968,královská výsost,Her/His/Your Royal Highness
3969,království,"kingdom, realm"
3970,Království české,Kingdom ofBohemia
3971,kráva,cow
3972,zádušní kráva,"(=,,a cow of church funds"") see železná kráva"
3973,železná kráva,"(= ,,iron cow"") perpetual burden, see also zádušní kráva"
3974,kravař,"cowherd, cowshed hand"
3975,krčmář,tavemer (male)(hist.)
3976,krčmářka,tavemer (female)(hist.)
3977,krejcar,"kreutzer (a smaller coin, part ofthaler) (mun.)"
3978,krejčí,tailor
3979,krejčová,"dressmaker, see also švadlena"
3980,kremace,see pohřeb žehem
3981,kresba,drawing
3982,krev,blood
3983,krevní msta,blood feud
3984,krevní skupina,blood group
3985,kriminál,"jug, jail"
3986,Kristus,Christ
3987,kronikář,"chronicler, annalist"
3988,krtice,extrapulmonary form oftuberculosis (scro- phulosis)(med.)
3989,krucifix,Crucifix
3990,krutovládce,tyrant
3991,krvácení,bleeding
3992,krvácení do dutiny hrudní,thoracic hemorrhage (med.)
3993,krvácení do dutiny osrdečníkové,pericardial hemorrhage (med.)
3994,křest,"baptism, christening"
3995,nouzový křest,baptism in exigency (ret.)
3996,přijmout křest,to receive Christ
3997,křestní,baptismal
3998,křestní jméno,baptismal/Christian name (also given name)
3999,svatý Kříž,"the Holy Cross, the Holy Rood"
4000,křižák,crusader
4001,křtící kněz,baptizing priest
4002,křtiny,see křest
4003,křtít,see pokřtít
4004,křtitelnice,"baptistery, baptismal shell, font"
4005,kšaft,see testament (hist.)
4006,kšaftovat,1. to declare last will 2. see odkázat 1.
4007,květen,May
4008,kůl,pale (heral.)
4009,kůlna,shed
4010,kůň,horse
4011,kupní,adj. purchasing
